"","DEFB1","GAPDH","GUSB","HMOX1","HPRT1","HSP90AB","IL1B","MMP10","MMP12","TNF","UBC"
"KK18G DMSO",26.9799194335937,20.0632203420003,25.7147382100423,23.5197861989339,26.8980642954508,21.3860219319661,20.1257025400798,23.8677342732747,22.3522402445475,24.8464336395264,19.0676097869873
"KK18G ETI",26.6637763977051,20.4882990519206,26.2006340026855,24.1287854512533,27.0318190256755,21.891980489095,20.0938663482666,24.8218059539795,22.8987236022949,25.066162109375,19.3106508255005
"KK22F DMSO",26.3342107137044,20.1699352264404,25.3117338816325,26.6503944396973,25.9471238454183,20.9098275502523,23.9570859273275,24.5042044321696,27.8130645751953,30.4489752451579,18.9788703918457
"KK22F ETI",24.9989363352458,20.5508098602295,26.5050611495972,27.8646672566732,26.4144331614176,21.4187037150065,22.0217653910319,25.9621918996175,31.1523806254069,30.250784556071,19.1062269210815
"KK27H DMSO",25.1091594696045,19.6226495107015,24.8170528411865,25.7148952484131,25.9991175333659,20.9100971221924,22.1967862447103,21.8238665262858,23.0249640146891,26.3998018900553,19.3019704818726
"KK27H ETI",24.5725606282552,19.7152678171794,24.547966003418,26.2658933003743,25.893269220988,20.9745286305745,23.3112017313639,22.4434369405111,23.9427032470703,27.3495343526204,19.2290859222412
"KK29H DMSO",24.5327320098877,21.2948513031006,26.0519975026449,23.2307523091634,28.243782043457,22.5655873616536,21.1130644480387,27.192538579305,24.4323196411133,26.4297904968262,19.3751535415649
"KK29H ETI",23.7062129974365,21.0053145090739,25.3447977701823,22.9936046600342,27.7627067565918,21.9196898142497,21.6535078684489,28.3660074869792,24.8434352874756,25.9728997548421,19.4896745681763
"KK32G DMSO",25.0872198740641,19.8603668212891,24.8754482269287,25.8837871551514,26.2595176696777,20.9624093373617,23.6412550608317,23.2609265645345,24.9781589508057,28.1615772247314,19.1611506144206
"KK32G ETI",24.090851465861,19.6596647898356,24.5011018117269,26.2523549397786,26.1288941701253,20.9510033925374,22.9678910573324,23.9178676605225,25.9463933308919,27.6525421142578,19.4001626968384
