"","GAPDH","GUSB","HPRT1","HSP90AB","UBC"
"KK18G DMSO",20.0632203420003,25.7147382100423,26.8980642954508,21.3860219319661,19.0676097869873
"KK18G ETI",20.4882990519206,26.2006340026855,27.0318190256755,21.891980489095,19.3106508255005
"KK22F DMSO",20.1699352264404,25.3117338816325,25.9471238454183,20.9098275502523,18.9788703918457
"KK22F ETI",20.5508098602295,26.5050611495972,26.4144331614176,21.4187037150065,19.1062269210815
"KK27H DMSO",19.6226495107015,24.8170528411865,25.9991175333659,20.9100971221924,19.3019704818726
"KK27H ETI",19.7152678171794,24.547966003418,25.893269220988,20.9745286305745,19.2290859222412
"KK29H DMSO",21.2948513031006,26.0519975026449,28.243782043457,22.5655873616536,19.3751535415649
"KK29H ETI",21.0053145090739,25.3447977701823,27.7627067565918,21.9196898142497,19.4896745681763
"KK32G DMSO",19.8603668212891,24.8754482269287,26.2595176696777,20.9624093373617,19.1611506144206
"KK32G ETI",19.6596647898356,24.5011018117269,26.1288941701253,20.9510033925374,19.4001626968384
